iter	Passed	Remaining
0	1	166
1	3	151
2	4	143
3	5	133
4	7	140
5	8	137
6	10	134
7	11	133
8	12	131
9	14	129
10	15	126
11	17	125
12	18	124
13	19	122
14	21	123
15	23	121
16	24	119
17	25	117
18	27	116
19	28	115
20	30	114
21	31	112
22	33	110
23	34	108
24	35	107
25	37	106
26	38	105
27	40	103
28	41	102
29	43	100
30	44	99
31	45	97
32	47	95
33	48	94
34	49	92
35	51	91
36	53	90
37	54	88
38	55	87
39	57	85
40	58	84
41	59	81
42	60	80
43	62	79
44	63	77
45	64	76
46	66	75
47	68	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	61
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	88	52
63	90	50
64	91	49
65	92	47
66	94	46
67	96	45
68	97	43
69	98	42
70	100	41
71	101	39
72	103	38
73	104	36
74	106	35
75	107	33
76	108	32
77	110	31
78	111	29
79	113	28
80	114	26
81	115	25
82	117	24
83	118	22
84	120	21
85	121	19
86	123	18
87	125	17
88	126	15
89	128	14
90	129	12
91	130	11
92	132	9
93	133	8
94	135	7
95	136	5
96	138	4
97	140	2
98	142	1
99	143	0
