iter	Passed	Remaining
0	142	142367
1	144	71946
2	145	48481
3	147	36729
4	151	30225
5	154	25622
6	156	22160
7	157	19562
8	159	17547
9	161	15942
10	162	14629
11	166	13727
12	168	12781
13	170	11980
14	171	11274
15	173	10656
16	174	10114
17	180	9863
18	182	9430
19	184	9033
20	186	8679
21	188	8360
22	189	8060
23	191	7786
24	195	7626
25	197	7393
26	198	7170
27	200	6959
28	202	6768
29	203	6587
30	205	6419
31	207	6262
32	210	6171
33	212	6033
34	214	5902
35	215	5775
36	217	5655
37	218	5543
38	220	5436
39	224	5378
40	226	5286
41	227	5196
42	229	5108
43	231	5029
44	233	4946
45	234	4869
46	236	4795
47	240	4763
48	241	4693
49	243	4627
50	245	4561
51	246	4497
52	248	4436
53	249	4378
54	251	4321
55	254	4298
56	256	4244
57	258	4195
58	259	4145
59	261	4096
60	262	4048
61	269	4076
62	271	4032
63	272	3991
64	274	3949
65	276	3908
66	277	3867
67	279	3831
68	281	3796
69	285	3790
70	286	3754
71	288	3719
72	290	3684
73	291	3650
74	293	3617
75	294	3585
76	296	3554
77	300	3547
78	301	3517
79	303	3487
80	304	3459
81	306	3431
82	307	3396
83	309	3370
84	310	3345
85	314	3339
86	316	3316
87	317	3293
88	319	3270
89	321	3247
90	322	3224
91	324	3201
92	326	3181
93	330	3184
94	332	3162
95	333	3142
96	335	3122
97	337	3101
98	338	3082
99	340	3064
100	342	3045
101	346	3047
102	347	3028
103	352	3035
104	353	3017
105	355	3000
106	357	2981
107	361	2981
108	362	2964
109	364	2946
110	365	2930
111	367	2913
112	369	2896
113	370	2880
114	372	2865
115	375	2864
116	377	2847
117	378	2832
118	380	2819
119	382	2804
120	384	2789
121	385	2772
122	386	2758
123	390	2758
124	392	2745
125	393	2732
126	395	2717
127	397	2705
128	398	2692
129	400	2680
130	402	2668
131	405	2668
132	407	2655
133	408	2642
134	410	2629
135	412	2617
136	413	2605
137	415	2593
138	416	2580
139	419	2579
140	421	2569
141	422	2555
142	426	2558
143	428	2548
144	430	2537
145	432	2527
146	435	2529
147	437	2520
148	439	2511
149	441	2501
150	443	2492
151	445	2482
152	446	2472
153	448	2462
154	452	2464
155	453	2455
156	455	2445
157	457	2436
158	458	2427
159	460	2418
160	461	2407
161	463	2398
162	465	2390
163	467	2382
164	468	2373
165	470	2364
166	472	2356
167	474	2347
168	475	2339
169	479	2342
170	481	2334
